"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BRIP1",0,1.27223982504439,0.987,0.9,0,"0","BRIP1"
"RFC3",0,1.25709050573237,0.989,0.878,0,"0","RFC3"
"DIAPH3",0,1.19751385043133,0.987,0.846,0,"0","DIAPH3"
"FANCI",0,1.17951588468233,0.971,0.848,0,"0","FANCI"
"AC016205.1",0,1.13286550040979,0.897,0.87,0,"0","AC016205.1"
"GRID2",0,1.10125478565977,0.978,0.917,0,"0","GRID2"
"HIST1H1C",0,1.07384587758552,0.93,0.73,0,"0","HIST1H1C"
"CENPP",0,1.06863638827834,0.95,0.819,0,"0","CENPP"
"DAB1",0,1.00792475512613,0.997,0.93,0,"0","DAB1"
"AL365295.1",0,0.971801281663908,0.951,0.868,0,"0","AL365295.1"
"DTL",0,0.96139835647242,0.91,0.777,0,"0","DTL"
"ATAD2",0,0.958645600624767,0.932,0.831,0,"0","ATAD2"
"AC007240.1",0,0.939573155542093,0.911,0.779,0,"0","AC007240.1"
"POLQ",0,0.928515099081967,0.93,0.809,0,"0","POLQ"
"E2F7",0,0.866173964796873,0.924,0.779,0,"0","E2F7"
"WWOX",0,0.842121738397735,0.996,0.948,0,"0","WWOX"
"GRM8",0,0.839389451397861,0.887,0.741,0,"0","GRM8"
"HIST1H1E",0,0.822232907378525,0.861,0.617,0,"0","HIST1H1E"
"GPC3",0,0.795263420371316,0.962,0.895,0,"0","GPC3"
"ARHGAP6",0,0.775454001774904,0.872,0.732,0,"0","ARHGAP6"
"SPC25",0,0.774916311313358,0.916,0.76,0,"0","SPC25"
"CEP128",0,0.758162323313476,0.965,0.807,0,"0","CEP128"
"SMC4",0,0.741504879604537,0.973,0.864,0,"0","SMC4"
"PTN",0,0.741419660221576,0.982,0.941,0,"0","PTN"
"HIST1H1B",0,0.712777947583569,0.795,0.65,0,"0","HIST1H1B"
"MYO3A",0,0.685246052910131,0.887,0.767,0,"0","MYO3A"
"BICC1",0,0.684233554827262,0.879,0.694,0,"0","BICC1"
"SORCS3",0,0.67419259022186,0.965,0.871,0,"0","SORCS3"
"TMTC1",0,0.662741761154717,0.949,0.842,0,"0","TMTC1"
"FUT9",0,0.660054777520163,0.933,0.837,0,"0","FUT9"
"KIF15",0,0.657926804759433,0.924,0.815,0,"0","KIF15"
"COL14A1",0,0.652930168922168,0.919,0.899,0,"0","COL14A1"
"FAM111B",0,0.643212678670033,0.77,0.699,0,"0","FAM111B"
"PCDH11X",0,0.635661357059321,0.904,0.722,0,"0","PCDH11X"
"CDH4",0,0.634031680330874,0.994,0.949,0,"0","CDH4"
"AC092422.1",0,0.619354301178628,0.891,0.783,0,"0","AC092422.1"
"CIT",0,0.602565258068922,0.951,0.854,0,"0","CIT"
"RTKN2",0,0.58766730930715,0.877,0.81,0,"0","RTKN2"
"KIF18B",0,0.585577485923455,0.929,0.789,0,"0","KIF18B"
"KIF11",0,0.578413448928756,0.902,0.753,0,"0","KIF11"
"PVT1",0,0.563624862465101,0.993,0.974,0,"0","PVT1"
"MIS18BP1",0,0.556423910416024,0.939,0.828,0,"0","MIS18BP1"
"ASCC3",0,0.550359329342001,0.993,0.974,0,"0","ASCC3"
"GALNT13",0,0.549598211998749,0.944,0.88,0,"0","GALNT13"
"RARB",0,0.545926308744359,0.948,0.909,0,"0","RARB"
"HMGA2",0,0.536372865034181,0.979,0.917,0,"0","HMGA2"
"NCAPG",0,0.527883277139287,0.883,0.792,0,"0","NCAPG"
"ZFPM2",0,0.517144276606727,0.888,0.784,0,"0","ZFPM2"
"NEIL3",0,0.513478005992598,0.902,0.767,0,"0","NEIL3"
"BUB1B",0,0.501588538975313,0.916,0.803,0,"0","BUB1B"
"GPC6",0,0.497584183204256,0.998,0.961,0,"0","GPC6"
"AC005394.1",0,0.494704943723851,0.886,0.786,0,"0","AC005394.1"
"PIEZO2",0,0.490999640322359,0.879,0.758,0,"0","PIEZO2"
"CENPI",0,0.476445671730327,0.889,0.743,0,"0","CENPI"
"COL4A2",0,0.460522468520536,0.969,0.915,0,"0","COL4A2"
"EGFEM1P",0,0.456903627271182,0.995,0.959,0,"0","EGFEM1P"
"NUSAP1",0,0.441051138595365,0.923,0.827,0,"0","NUSAP1"
"NETO1",0,0.431397244301063,0.777,0.666,0,"0","NETO1"
"DEPDC1B",0,0.426700016054766,0.923,0.837,0,"0","DEPDC1B"
"KIF20B",0,0.426149358997226,0.918,0.794,0,"0","KIF20B"
"ANLN",0,0.409710008365368,0.919,0.793,0,"0","ANLN"
"ADAMTS20",0,0.396482915096652,0.803,0.749,0,"0","ADAMTS20"
"PRC1",0,0.375303021540632,0.888,0.763,0,"0","PRC1"
"STAC",0,0.357192821371791,0.841,0.733,0,"0","STAC"
"CHST9",0,0.302045611171499,0.796,0.667,0,"0","CHST9"
"MIR34AHG",0,0.301684596923218,0.882,0.809,0,"0","MIR34AHG"
"MIR31HG",0,0.283755458925121,0.874,0.853,0,"0","MIR31HG"
"PLK2",0,0.265375665909303,0.917,0.775,0,"0","PLK2"
"TCERG1L",0,0.257497435664613,0.793,0.666,0,"0","TCERG1L"
"CDK1",0,0.254339568777385,0.865,0.731,0,"0","CDK1"
"TACC3",0,0.250645356060478,0.91,0.799,0,"0","TACC3"
"TBC1D4",1.96668599048118e-305,0.455457262622653,0.855,0.731,3.93337198096237e-302,"0","TBC1D4"
"GLI3",1.09981228525082e-300,0.398169749135866,0.998,0.984,2.19962457050164e-297,"0","GLI3"
"ELMO1",1.36346880494154e-299,0.476866485839897,0.923,0.828,2.72693760988307e-296,"0","ELMO1"
"MKI67",5.46796895614666e-290,0.323069552368183,0.976,0.902,1.09359379122933e-286,"0","MKI67"
"PRKG1",2.08807659502148e-271,0.395177547164037,0.947,0.822,4.17615319004296e-268,"0","PRKG1"
"PLAGL1",1.26412074195888e-268,0.495707492691762,0.951,0.909,2.52824148391776e-265,"0","PLAGL1"
"KIF4A",8.42499384024996e-268,0.334926237985083,0.908,0.84,1.68499876804999e-264,"0","KIF4A"
"KIFC1",1.71908607250009e-267,0.346534305638036,0.849,0.786,3.43817214500019e-264,"0","KIFC1"
